Method,Best Params,CV Accuracy,Testing Accuracy
SVC,"{'C': 0.01, 'degree': 0, 'gamma': 'auto', 'kernel': 'linear'}",0.8484848484848484,0.7894736842105263
PCA+SVC,"{'pca__n_components': 100, 'svc__C': 0.01, 'svc__degree': 0, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.8603896103896104,0.7894736842105263
